1000000,664.4290363177017,1
step,reward,seed
0,2.996854218839629,1
25000,40.43143066208007,1
50000,124.3201172663674,1
75000,160.16340627819395,1
100000,232.07535515123763,1
125000,387.7898771041238,1
150000,380.2094413423482,1
175000,395.9310284000162,1
200000,443.6592337810989,1
225000,376.02122736000405,1
250000,448.04517262934877,1
275000,459.01699556022606,1
300000,453.8406162286783,1
325000,501.13561975207597,1
350000,508.0868025118131,1
375000,575.4903885805186,1
400000,556.8028134456493,1
425000,442.18233750208185,1
450000,464.9629087665406,1
475000,527.5956353312433,1
500000,534.2684859943184,1
525000,534.2339739188983,1
550000,564.2971859681256,1
575000,564.681262388539,1
600000,586.1415878628592,1
625000,604.6491671663634,1
650000,611.9670272803281,1
675000,623.4969665667809,1
700000,638.0692843307538,1
725000,577.2201299713083,1
750000,634.7010047195935,1
775000,664.3978612035258,1
800000,618.1882625664764,1
825000,279.797978393239,1
850000,586.33667718024,1
875000,650.3760712728941,1
900000,658.6859360725878,1
925000,632.860819531678,1
950000,656.7395644200507,1
975000,674.0877190671857,1
1000000,662.5005292407402,1
